City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Yellowknife,62.456,-114.3525,59.56,58,40,4.61,scattered clouds,CA,2022-06-20 13:57:35
1,Souillac,-20.5167,57.5167,70.18,88,75,14.97,light rain,MU,2022-06-20 14:01:40
2,Ushuaia,-54.8,-68.3,27.73,95,100,5.32,light snow,AR,2022-06-20 14:01:42
3,Mataura,-46.1927,168.8643,33.48,98,21,2.42,few clouds,NZ,2022-06-20 14:01:50
4,Wynyard,-41.0,145.7167,53.98,92,100,14.43,moderate rain,AU,2022-06-20 13:57:19
5,Praya,14.9215,-23.5087,81.14,78,20,13.8,few clouds,CV,2022-06-20 13:58:59
6,Cape Town,-33.9258,18.4232,69.12,53,0,11.99,clear sky,ZA,2022-06-20 13:58:12
7,Ugoofaaru,5.6667,73.0,82.81,76,100,15.61,overcast clouds,MV,2022-06-20 14:02:00
8,Painesville,41.7245,-81.2457,66.97,77,100,0.0,overcast clouds,US,2022-06-20 13:59:52
9,Jamestown,42.097,-79.2353,64.02,62,100,1.99,overcast clouds,US,2022-06-20 13:57:15
10,Bredasdorp,-34.5322,20.0403,59.77,71,13,16.73,few clouds,ZA,2022-06-20 14:00:55
11,Samana,19.2056,-69.3369,82.62,78,20,0.0,few clouds,DO,2022-06-20 14:02:17
12,Hermanus,-34.4187,19.2345,62.8,61,1,17.18,clear sky,ZA,2022-06-20 14:02:25
13,Tarakan,3.3,117.6333,82.72,71,13,7.2,few clouds,ID,2022-06-20 14:02:25
14,Ribeira Grande,38.5167,-28.7,70.2,64,20,13.8,few clouds,PT,2022-06-20 14:02:27
15,Tiksi,71.6872,128.8694,36.39,62,98,3.47,overcast clouds,RU,2022-06-20 14:02:28
16,Omboue,-1.5746,9.2618,78.57,67,66,13.24,broken clouds,GA,2022-06-20 14:02:29
17,Grindavik,63.8424,-22.4338,52.27,82,75,11.5,broken clouds,IS,2022-06-20 14:02:30
18,Tuktoyaktuk,69.4541,-133.0374,33.58,86,79,7.09,broken clouds,CA,2022-06-20 14:02:31
19,Avarua,-21.2078,-159.775,77.05,83,75,9.22,broken clouds,CK,2022-06-20 14:02:31
20,Castro,-24.7911,-50.0119,62.92,70,37,3.53,scattered clouds,BR,2022-06-20 14:02:32
21,The Valley,18.217,-63.0578,85.1,76,12,15.93,few clouds,AI,2022-06-20 14:02:33
22,Atuona,-9.8,-139.0333,77.61,82,43,25.21,light rain,PF,2022-06-20 14:02:33
23,Punta Arenas,-53.15,-70.9167,33.12,74,2,20.45,clear sky,CL,2022-06-20 14:02:34
24,Albany,42.6001,-73.9662,67.78,54,63,9.46,broken clouds,US,2022-06-20 14:02:34
25,Rikitea,-23.1203,-134.9692,69.75,60,1,16.73,clear sky,PF,2022-06-20 13:59:18
26,Nikolskoye,59.7035,30.7861,60.69,65,96,4.61,overcast clouds,RU,2022-06-20 14:02:36
27,Rong Kwang,18.339,100.3174,79.21,79,49,3.53,scattered clouds,TH,2022-06-20 14:02:36
28,Hobart,-42.8794,147.3294,55.26,76,100,9.22,light rain,AU,2022-06-20 14:02:37
29,Mar Del Plata,-38.0023,-57.5575,45.95,84,75,5.75,mist,AR,2022-06-20 14:02:37
30,Kapaa,22.0752,-159.319,73.11,88,48,11.65,scattered clouds,US,2022-06-20 14:02:38
31,Hirara,24.8,125.2833,82.17,86,97,16.64,overcast clouds,JP,2022-06-20 14:02:38
32,Hilo,19.7297,-155.09,72.25,89,100,5.75,light rain,US,2022-06-20 14:02:39
33,Sabang,5.8933,95.3214,83.46,73,100,8.05,light rain,ID,2022-06-20 14:02:40
34,Mundo Nuevo,18.7,-95.5,81.34,73,96,9.86,overcast clouds,MX,2022-06-20 14:02:41
35,Comodoro Rivadavia,-45.8667,-67.5,41.02,55,36,13.13,scattered clouds,AR,2022-06-20 14:02:42
36,Haines Junction,60.7522,-137.5108,46.27,71,92,2.06,overcast clouds,CA,2022-06-20 14:02:42
37,Kuching,1.55,110.3333,77.22,88,20,2.3,light rain,MY,2022-06-20 14:02:43
38,Butaritari,3.0707,172.7902,82.69,74,94,14.81,overcast clouds,KI,2022-06-20 14:02:44
39,Hasaki,35.7333,140.8333,72.28,93,100,9.22,overcast clouds,JP,2022-06-20 14:02:44
40,Morgan City,29.6994,-91.2068,88.0,60,0,5.17,clear sky,US,2022-06-20 14:02:45
41,Port Alfred,-33.5906,26.891,62.19,82,98,4.0,overcast clouds,ZA,2022-06-20 13:58:22
42,Ponta Delgada,37.7333,-25.6667,66.92,68,20,17.27,few clouds,PT,2022-06-20 14:02:45
43,Saskylakh,71.9167,114.0833,54.77,41,100,4.05,overcast clouds,RU,2022-06-20 14:02:46
44,Tukrah,32.5341,20.5791,80.69,49,0,15.64,clear sky,LY,2022-06-20 14:02:46
45,Katsuura,35.1333,140.3,72.86,92,100,18.59,overcast clouds,JP,2022-06-20 14:02:47
46,Carnarvon,-24.8667,113.6333,69.58,59,0,12.75,clear sky,AU,2022-06-20 14:02:48
47,Busselton,-33.65,115.3333,60.62,76,96,7.81,overcast clouds,AU,2022-06-20 14:02:48
48,Songjianghe,42.1859,127.479,62.49,81,50,5.23,scattered clouds,CN,2022-06-20 14:02:59
49,Whitehorse,60.7161,-135.0538,48.97,60,75,6.91,broken clouds,CA,2022-06-20 13:58:55
50,Santa Cruz De La Palma,28.6835,-17.7642,76.14,69,75,16.11,broken clouds,ES,2022-06-20 14:03:00
51,Killybegs,54.6333,-8.45,58.71,66,18,9.66,few clouds,IE,2022-06-20 14:03:00
52,Yulara,-25.2406,130.9889,59.7,54,0,10.07,clear sky,AU,2022-06-20 14:03:01
53,Saint-Philippe,-21.3585,55.7679,67.59,78,90,15.64,light rain,RE,2022-06-20 14:03:01
54,Lebu,-37.6167,-73.65,49.96,92,100,7.58,overcast clouds,CL,2022-06-20 14:03:02
55,Trairi,-3.2778,-39.2689,83.46,63,95,11.07,overcast clouds,BR,2022-06-20 14:02:33
56,Srednekolymsk,67.45,153.6833,43.29,65,100,18.07,overcast clouds,RU,2022-06-20 14:03:04
57,Kiunga,-6.1219,141.2906,71.91,99,100,2.35,overcast clouds,PG,2022-06-20 14:03:05
58,Severo-Kurilsk,50.6789,156.125,46.89,97,100,3.56,overcast clouds,RU,2022-06-20 14:03:06
59,Ratzeburg,53.7,10.7667,67.48,65,20,10.36,few clouds,DE,2022-06-20 14:03:06
60,Miandoab,36.9694,46.1027,95.4,12,0,12.12,clear sky,IR,2022-06-20 14:03:07
61,Valparaiso,-33.0393,-71.6273,52.48,86,100,4.61,mist,CL,2022-06-20 14:03:08
62,Ziarat,30.3823,67.7282,72.81,15,0,11.9,clear sky,PK,2022-06-20 14:03:09
63,Sisimiut,66.9395,-53.6735,40.08,78,100,1.99,overcast clouds,GL,2022-06-20 14:03:11
64,Hithadhoo,-0.6,73.0833,83.89,71,62,11.63,broken clouds,MV,2022-06-20 14:03:13
65,Strezhevoy,60.7333,77.5889,74.25,54,74,11.1,broken clouds,RU,2022-06-20 14:03:13
66,Ancud,-41.8697,-73.8203,40.23,85,88,8.46,overcast clouds,CL,2022-06-20 14:03:15
67,Provideniya,64.3833,-173.3,43.86,97,100,10.49,light rain,RU,2022-06-20 14:03:16
68,Vostok,46.4856,135.8833,53.13,92,97,3.91,overcast clouds,RU,2022-06-20 14:03:17
69,Muisne,0.6,-80.0333,74.52,88,100,9.33,light rain,EC,2022-06-20 14:03:18
70,Batemans Bay,-35.7167,150.1833,55.09,87,79,5.32,broken clouds,AU,2022-06-20 14:02:30
71,Mahebourg,-20.4081,57.7,70.09,88,75,14.97,broken clouds,MU,2022-06-20 14:03:19
72,Geraldton,-28.7667,114.6,55.81,88,0,5.75,clear sky,AU,2022-06-20 14:03:19
73,Naliya,23.2667,68.8333,86.09,70,0,19.86,clear sky,IN,2022-06-20 14:03:20
74,Roebourne,-20.7833,117.1333,73.81,41,0,10.8,clear sky,AU,2022-06-20 14:03:21
75,Lahij,13.1667,44.5833,105.44,17,69,4.27,broken clouds,YE,2022-06-20 14:03:22
76,Norman Wells,65.282,-126.8329,58.75,89,96,8.99,overcast clouds,CA,2022-06-20 14:03:23
77,Chuy,-33.6971,-53.4616,53.82,46,1,0.81,clear sky,UY,2022-06-20 14:03:23
78,Hamilton,39.1834,-84.5333,72.84,63,91,1.01,overcast clouds,US,2022-06-20 14:00:01
79,Tasiilaq,65.6145,-37.6368,42.17,64,97,0.49,overcast clouds,GL,2022-06-20 14:03:24
80,Chokurdakh,70.6333,147.9167,34.83,68,100,16.67,overcast clouds,RU,2022-06-20 14:03:25
81,Puerto Ayora,-0.7393,-90.3518,73.36,99,91,4.0,overcast clouds,EC,2022-06-20 14:03:26
82,Bonavista,48.6499,-53.1147,51.66,93,100,21.32,overcast clouds,CA,2022-06-20 14:03:26
83,Ketchikan,55.3422,-131.6461,54.07,94,100,6.91,mist,US,2022-06-20 14:03:27
84,Cidreira,-30.1811,-50.2056,58.42,63,0,1.14,clear sky,BR,2022-06-20 13:59:33
85,Maceio,-9.6658,-35.7353,80.04,73,75,11.5,broken clouds,BR,2022-06-20 14:03:28
86,Qaanaaq,77.484,-69.3632,38.57,68,100,3.83,overcast clouds,GL,2022-06-20 14:03:29
87,Mangotsfield,51.4878,-2.504,71.1,51,65,9.22,broken clouds,GB,2022-06-20 14:03:29
88,Acarau,-2.8856,-40.12,83.98,61,48,13.27,scattered clouds,BR,2022-06-20 14:03:30
89,Torbay,47.6666,-52.7314,64.27,90,100,26.46,light intensity shower rain,CA,2022-06-20 14:03:22
90,Vestmannaeyjar,63.4427,-20.2734,52.79,87,75,13.8,mist,IS,2022-06-20 14:03:31
91,Broome,42.2506,-75.833,65.7,58,0,4.61,clear sky,US,2022-06-20 14:03:42
92,Sampit,-2.5333,112.95,74.93,99,100,2.64,light rain,ID,2022-06-20 14:03:43
93,Panalingaan,8.7842,117.4231,78.85,84,93,2.59,overcast clouds,PH,2022-06-20 14:03:43
94,Karratha,-20.7377,116.8463,74.05,40,0,10.69,clear sky,AU,2022-06-20 14:03:44
95,Egvekinot,66.3167,-179.1667,35.15,99,100,5.91,snow,RU,2022-06-20 14:03:45
96,Naze,28.3667,129.4833,75.45,92,100,11.88,overcast clouds,JP,2022-06-20 14:03:45
97,Half Moon Bay,37.4636,-122.4286,60.33,85,100,0.0,mist,US,2022-06-20 14:03:46
98,Kemijarvi,66.7131,27.4306,56.44,51,86,4.5,overcast clouds,FI,2022-06-20 14:03:46
99,Marsh Harbour,26.5412,-77.0636,82.47,68,1,9.19,clear sky,BS,2022-06-20 14:03:47
100,Kenai,60.5544,-151.2583,46.02,95,0,5.75,clear sky,US,2022-06-20 14:03:48
101,Muscle Shoals,34.7448,-87.6675,78.46,61,0,6.91,clear sky,US,2022-06-20 14:03:48
102,Port Macquarie,-31.4333,152.9167,50.9,84,7,6.06,clear sky,AU,2022-06-20 14:03:49
103,Khatanga,71.9667,102.5,55.56,52,100,2.59,overcast clouds,RU,2022-06-20 14:03:49
104,Sawang Daen Din,17.4753,103.4575,84.18,99,94,5.39,overcast clouds,TH,2022-06-20 14:03:50
105,Amapa,1.0,-52.0,79.63,81,51,4.16,broken clouds,BR,2022-06-20 14:03:50
106,Bluff,-46.6,168.3333,33.8,86,74,5.06,broken clouds,NZ,2022-06-20 14:03:51
107,Gewane,10.1664,40.6453,103.03,15,33,8.99,scattered clouds,ET,2022-06-20 14:03:52
108,Kimbe,-5.5502,150.1429,74.93,93,89,3.74,light rain,PG,2022-06-20 14:03:52
109,Kualakapuas,-3.0091,114.3876,75.15,96,90,2.86,moderate rain,ID,2022-06-20 14:03:53
110,Asau,46.4333,26.4,81.52,40,15,5.93,few clouds,RO,2022-06-20 14:03:53
111,Wasilla,61.5814,-149.4394,51.78,76,100,4.61,light rain,US,2022-06-20 14:03:54
112,Fortuna,40.5982,-124.1573,55.92,90,100,0.0,overcast clouds,US,2022-06-20 14:03:55
113,Sakakah,29.9697,40.2064,110.3,7,0,7.54,clear sky,SA,2022-06-20 14:03:56
114,Kalmunai,7.4167,81.8167,84.13,73,97,2.91,overcast clouds,LK,2022-06-20 14:03:58
115,Ponta Do Sol,32.6667,-17.1,74.03,72,91,6.42,overcast clouds,PT,2022-06-20 14:03:58
116,Petropavlovsk-Kamchatskiy,53.0452,158.6483,47.89,95,94,2.48,light rain,RU,2022-06-20 14:03:59
117,Riohacha,11.5444,-72.9072,84.76,64,74,14.56,broken clouds,CO,2022-06-20 14:04:00
118,Pisco,-13.7,-76.2167,59.05,88,20,5.75,mist,PE,2022-06-20 14:04:00
119,Oparino,59.8518,48.2783,52.88,96,100,10.22,moderate rain,RU,2022-06-20 14:04:01
120,Vaini,-21.2,-175.2,77.16,94,75,107.02,broken clouds,TO,2022-06-20 14:04:02
121,Korla,41.7597,86.1469,78.73,28,96,10.47,overcast clouds,CN,2022-06-20 14:04:02
122,Anadyr,64.75,177.4833,48.0,81,100,11.01,overcast clouds,RU,2022-06-20 14:04:03
123,Saldanha,-33.0117,17.9442,63.52,55,82,10.25,broken clouds,ZA,2022-06-20 14:04:04
124,Ginir,7.1333,40.7,71.37,51,61,13.78,broken clouds,ET,2022-06-20 14:04:05
125,Riyadh,24.6877,46.7219,113.14,4,6,10.6,clear sky,SA,2022-06-20 14:04:05
126,Nelson Bay,-32.7167,152.15,52.0,96,7,2.28,clear sky,AU,2022-06-20 14:04:05
127,Barrow,71.2906,-156.7887,44.62,81,0,11.5,clear sky,US,2022-06-20 14:04:09
128,Agirish,61.9247,63.0231,71.55,43,68,3.22,broken clouds,RU,2022-06-20 14:04:10
129,Qasigiannguit,68.8193,-51.1922,34.05,73,100,4.12,overcast clouds,GL,2022-06-20 14:04:11
130,Dikson,73.5069,80.5464,36.39,95,100,9.69,light rain,RU,2022-06-20 14:04:11
131,Bosaso,11.2842,49.1816,94.55,44,71,3.42,broken clouds,SO,2022-06-20 14:04:12
132,Kommunar,59.6206,30.39,60.33,64,89,6.02,overcast clouds,RU,2022-06-20 14:04:13
133,Silver City,32.7701,-108.2803,68.68,60,0,3.44,clear sky,US,2022-06-20 14:04:14
134,East London,-33.0153,27.9116,65.52,70,99,13.15,overcast clouds,ZA,2022-06-20 14:04:15
135,Cherskiy,68.75,161.3,43.25,77,97,14.36,overcast clouds,RU,2022-06-20 14:04:17
136,Sitka,57.0531,-135.33,51.69,87,100,0.0,overcast clouds,US,2022-06-20 14:04:27
137,Boyolangu,-8.1181,111.8935,76.17,89,98,4.68,light rain,ID,2022-06-20 14:04:28
138,Kieta,-6.2167,155.6333,77.99,85,17,4.52,light rain,PG,2022-06-20 14:04:28
139,Cap-Aux-Meules,47.3821,-61.8597,57.25,88,100,9.22,overcast clouds,CA,2022-06-20 14:00:03
140,Kautokeino,69.0125,23.0412,55.81,52,100,9.66,overcast clouds,NO,2022-06-20 14:04:29
141,Kavaratti,10.5669,72.642,82.33,79,100,17.67,overcast clouds,IN,2022-06-20 14:04:30
142,Ilulissat,69.2167,-51.1,33.82,93,100,4.61,fog,GL,2022-06-20 14:04:31
143,Porto Velho,-8.7619,-63.9039,75.25,88,75,3.44,broken clouds,BR,2022-06-20 14:04:31
144,New Norfolk,-42.7826,147.0587,54.91,78,100,3.0,light rain,AU,2022-06-20 14:04:32
145,Dubrovka,53.6907,33.5071,64.08,91,92,9.13,overcast clouds,RU,2022-06-20 14:04:32
146,Sibu,2.3,111.8167,74.44,98,100,1.12,overcast clouds,MY,2022-06-20 14:04:33
147,Taksimo,56.3444,114.8794,59.41,83,100,1.05,overcast clouds,RU,2022-06-20 14:04:35
148,Batagay-Alyta,67.8006,130.4114,40.3,62,46,6.51,scattered clouds,RU,2022-06-20 14:04:36
149,Pankrushikha,53.8319,80.3406,68.52,71,36,5.59,scattered clouds,RU,2022-06-20 14:04:37
150,Olafsvik,64.8945,-23.7142,49.46,77,78,10.96,broken clouds,IS,2022-06-20 14:04:37
151,Talaya,61.3833,152.75,51.33,91,98,4.68,light rain,RU,2022-06-20 14:04:38
152,Rawson,-43.3002,-65.1023,42.37,51,0,12.08,clear sky,AR,2022-06-20 14:04:39
153,Waingapu,-9.6567,120.2641,76.35,68,78,9.78,broken clouds,ID,2022-06-20 14:04:40
154,Vilyuysk,63.7553,121.6247,51.46,49,100,10.56,overcast clouds,RU,2022-06-20 14:04:40
155,Koulamoutou,-1.1303,12.4736,82.78,63,93,2.57,overcast clouds,GA,2022-06-20 14:04:41
156,Bengkulu,-3.8004,102.2655,77.11,89,100,3.22,overcast clouds,ID,2022-06-20 14:04:41
157,Sao Filipe,14.8961,-24.4956,73.13,95,100,9.53,moderate rain,CV,2022-06-20 14:04:42
158,Naifaru,5.4444,73.3657,82.63,76,100,16.31,overcast clouds,MV,2022-06-20 14:04:43
159,Otane,-39.8833,176.6333,43.54,86,100,6.33,overcast clouds,NZ,2022-06-20 14:04:43
160,Rocha,-34.4833,-54.3333,53.87,63,7,3.74,clear sky,UY,2022-06-20 14:04:44
161,Edson,53.5835,-116.4356,54.36,72,16,5.73,few clouds,CA,2022-06-20 14:04:45
162,Clyde River,70.4692,-68.5914,32.92,91,36,4.25,scattered clouds,CA,2022-06-20 14:04:45
163,Cabra,37.4725,-4.4421,84.85,27,36,14.97,scattered clouds,ES,2022-06-20 14:04:46
164,Sao Joao Da Barra,-21.6403,-41.0511,75.29,73,98,5.91,overcast clouds,BR,2022-06-20 14:04:47
165,San Patricio,28.017,-97.5169,85.87,65,9,7.23,clear sky,US,2022-06-20 14:04:47
166,Severnyy-Kospashskiy,59.0925,57.8008,56.61,97,100,12.68,moderate rain,RU,2022-06-20 14:04:48
167,Bathsheba,13.2167,-59.5167,86.61,66,75,21.85,broken clouds,BB,2022-06-20 14:04:48
168,Bethel,41.3712,-73.414,70.52,56,0,8.05,clear sky,US,2022-06-20 14:04:49
169,Inuvik,68.3499,-133.7218,42.93,63,96,6.35,overcast clouds,CA,2022-06-20 14:04:49
170,Yeppoon,-23.1333,150.7333,60.58,83,97,11.43,overcast clouds,AU,2022-06-20 14:04:51
171,Coffs Harbour,-30.3,153.1333,52.12,87,13,0.0,few clouds,AU,2022-06-20 14:04:51
172,Kavieng,-2.5744,150.7967,81.03,76,63,4.0,broken clouds,PG,2022-06-20 14:04:52
173,Tazovskiy,67.4667,78.7,71.24,41,96,7.56,overcast clouds,RU,2022-06-20 14:04:53
174,San Cristobal,7.7669,-72.225,73.58,70,100,5.37,overcast clouds,VE,2022-06-20 14:04:53
175,Saint-Pierre,-21.3393,55.4781,71.91,88,75,16.11,light rain,RE,2022-06-20 14:04:55
176,Baghdad,33.3406,44.4009,116.04,7,0,19.64,clear sky,IQ,2022-06-20 14:04:56
177,Arrecife,28.963,-13.5477,78.78,53,75,17.27,broken clouds,ES,2022-06-20 14:04:56
178,Halifax,44.6453,-63.5724,57.22,91,100,5.75,overcast clouds,CA,2022-06-20 13:53:46
179,Beyneu,45.3167,55.2,90.34,20,65,19.04,broken clouds,KZ,2022-06-20 14:04:57
180,Novyy Urengoy,66.0833,76.6333,79.65,32,85,9.73,overcast clouds,RU,2022-06-20 14:04:58
181,Portland,45.5234,-122.6762,56.08,83,100,8.05,overcast clouds,US,2022-06-20 13:56:52
182,Aklavik,68.2191,-135.0107,41.95,66,100,7.05,overcast clouds,CA,2022-06-20 14:04:59
183,Myitkyina,25.3833,97.4,75.13,97,18,0.74,few clouds,MM,2022-06-20 14:05:09
184,Pokhara,28.2333,83.9833,71.56,85,55,3.4,broken clouds,NP,2022-06-20 14:04:29
185,Krasnogorsk,55.8225,37.3181,68.25,49,40,11.18,scattered clouds,RU,2022-06-20 14:05:10
186,Bilibino,68.0546,166.4372,52.12,82,100,6.8,light rain,RU,2022-06-20 14:05:11
187,Pevek,69.7008,170.3133,44.35,77,98,17.27,overcast clouds,RU,2022-06-20 14:05:11
188,Bandarbeyla,9.4942,50.8122,81.34,67,62,30.87,broken clouds,SO,2022-06-20 14:05:12
189,Bouna,9.2667,-3.0,94.32,38,18,5.5,few clouds,CI,2022-06-20 14:05:13
190,Sheridan,44.8333,-106.9173,58.32,82,100,1.01,overcast clouds,US,2022-06-20 14:05:13
191,Kaitangata,-46.2817,169.8464,37.02,93,11,3.74,few clouds,NZ,2022-06-20 14:05:14
192,Brae,60.3964,-1.353,51.91,97,100,20.18,light rain,GB,2022-06-20 14:05:14
193,Nouakchott,18.0858,-15.9785,85.93,81,90,10.09,overcast clouds,MR,2022-06-20 14:05:15
194,Lorengau,-2.0226,147.2712,78.82,81,96,3.13,overcast clouds,PG,2022-06-20 14:05:16
195,Poum,-20.2333,164.0167,72.3,61,4,18.3,clear sky,NC,2022-06-20 14:05:16
196,Warangal,18.0,79.5833,87.96,59,100,6.29,light rain,IN,2022-06-20 14:02:23
197,Vicente Guerrero,19.1194,-98.1708,56.59,54,98,8.12,overcast clouds,MX,2022-06-20 14:05:17
198,Loanda,-8.8368,13.2343,82.4,51,40,5.75,scattered clouds,AO,2022-06-20 14:04:57
199,Balikpapan,-1.2675,116.8289,81.59,89,20,4.61,few clouds,ID,2022-06-20 14:05:18
200,Springbok,-29.6643,17.8865,58.69,66,98,31.59,overcast clouds,ZA,2022-06-20 14:05:19
201,Grootfontein,-19.5667,18.1167,69.24,21,6,19.77,clear sky,NA,2022-06-20 14:05:19
202,Mayumba,-3.432,10.6554,75.33,75,37,12.03,scattered clouds,GA,2022-06-20 14:05:20
203,Rock Sound,24.9,-76.2,81.64,71,100,1.16,overcast clouds,BS,2022-06-20 14:05:20
204,Isangel,-19.55,169.2667,70.11,67,87,8.63,overcast clouds,VU,2022-06-20 14:05:21
205,Mehamn,71.0357,27.8492,53.55,62,20,2.3,few clouds,NO,2022-06-20 14:05:22
206,Vila Velha,-20.3297,-40.2925,75.15,81,40,9.22,scattered clouds,BR,2022-06-20 14:04:07
207,Paamiut,61.994,-49.6678,38.23,97,100,14.92,light rain,GL,2022-06-20 14:05:22
208,Mariara,10.2964,-67.7181,78.13,63,90,2.46,overcast clouds,VE,2022-06-20 14:05:23
209,Necochea,-38.5473,-58.7368,46.72,63,92,14.0,overcast clouds,AR,2022-06-20 14:05:24
210,Alice Springs,-23.7,133.8833,49.55,71,0,0.0,clear sky,AU,2022-06-20 14:02:34
211,Ambanja,-13.6833,48.45,75.72,82,10,4.07,moderate rain,MG,2022-06-20 14:05:25
212,Port Elizabeth,-33.918,25.5701,63.1,86,100,7.0,overcast clouds,ZA,2022-06-20 14:03:20
213,Rundu,-17.9333,19.7667,83.32,17,5,12.01,clear sky,NA,2022-06-20 14:05:26
214,Healdsburg,38.6105,-122.8692,69.91,70,0,0.0,clear sky,US,2022-06-20 14:05:26
215,Bonthe,7.5264,-12.505,85.05,59,65,10.2,broken clouds,SL,2022-06-20 14:05:27
216,Hervey Bay,-25.2986,152.8535,58.01,90,37,3.0,scattered clouds,AU,2022-06-20 14:05:28
217,Thompson,55.7435,-97.8558,62.08,87,100,7.4,overcast clouds,CA,2022-06-20 14:05:28
218,Burnie,-41.0667,145.9167,53.94,92,100,16.49,moderate rain,AU,2022-06-20 14:05:30
219,Inyonga,-6.7167,32.0667,82.76,26,31,5.55,scattered clouds,TZ,2022-06-20 14:05:30
220,Campbell River,50.0163,-125.2446,55.45,77,100,3.78,overcast clouds,CA,2022-06-20 14:04:36
221,Astoria,46.1879,-123.8313,55.29,84,100,0.0,overcast clouds,US,2022-06-20 14:05:31
222,Hobyo,5.3505,48.5268,81.14,72,89,31.18,overcast clouds,SO,2022-06-20 14:05:32
223,Narsaq,60.9167,-46.05,46.62,94,100,1.72,overcast clouds,GL,2022-06-20 14:05:33
224,Coihaique,-45.5752,-72.0662,35.55,80,20,5.75,few clouds,CL,2022-06-20 14:05:34
225,Guerrero Negro,27.9769,-114.0611,64.42,80,0,10.54,clear sky,MX,2022-06-20 14:05:34
226,Cileungsi,-6.3947,106.9592,78.04,85,69,2.01,moderate rain,ID,2022-06-20 14:03:55
227,Kodiak,57.79,-152.4072,47.71,87,100,4.61,overcast clouds,US,2022-06-20 14:05:35
228,Namibe,-15.1961,12.1522,67.62,59,0,9.73,clear sky,AO,2022-06-20 14:05:36
229,Flinders,-34.5833,150.8552,56.37,84,13,1.99,few clouds,AU,2022-06-20 14:05:36
230,Kaoma,-14.7833,24.8,81.97,22,6,5.44,clear sky,ZM,2022-06-20 14:05:47
231,Avera,33.194,-82.5271,79.38,40,100,3.22,overcast clouds,US,2022-06-20 14:05:47
232,Richards Bay,-28.783,32.0377,68.94,67,17,6.53,few clouds,ZA,2022-06-20 14:05:48
233,Sri Aman,1.2376,111.4621,75.65,94,100,1.05,moderate rain,MY,2022-06-20 14:05:48
234,Arraial Do Cabo,-22.9661,-42.0278,75.06,69,20,11.5,few clouds,BR,2022-06-20 14:05:49
